status_loading "Loading"

status_next  "Next:"
status_finished  "Finished:"
subStatus_moveOn "Press Next to continue"


button_done "Done"
button_next "Next"

button_back "Back"

button_play_again "Play Again"


button_ai "Single Player"
button_wifi "WiFi Game"


button_parent "Host Game"
button_parent_muti_card "Host Multi-card"
button_parent_clone "Host Download Play" 
button_child "Join Game"


stats_monthsLeft_As "months"
stats_monthsLeft_A "month"
stats_monthsLeft_B "left"

stats_selling "Selling:"
stats_earning  "Earning:"

stats_sellZeroNote "Trust pays you $%d to keep diamonds off the market"
stats_sellSomeNote "You get share of $%d based on total diamonds sold"

stats_salary "Salary:"
stats_bribes "Bribes:"

stats_bribing "Bribing:"
stats_bribedBy "Bribed by:"

stats_tripCost "Trip cost:"


stats_inspectorBlocking "Will block sale of:"
stats_inspectorConfiscating "Will confiscate:"

camera_securityHeader "Vault Security System"
camera_securityCompromised "SYSTEM COMPROMISED"


phaseStatus_gameType  "Select game type"
phaseSubStatus_gameType  "Play against AI or over local WiFi"


phaseStatus_aiLevel  "Set AI level"
phaseSubStatus_aiLevel  "Higher levels give AI more time to pick better moves"


phaseStatus_connect  "Connect to opponent"
phaseSubStatus_parentOrChild  "Host a game or join one started by your friend"
phaseSubStatus_waitingConnect  "Waiting for a connection"
phaseSubStatus_waitingConnectOn  "Waiting for a connection on "
phaseSubStatus_connectingToParent  "Connecting to host... "
phaseSubStatus_connectFailed  "Connection failed"


phaseSubStatus_sendingDownload "Transefering download to "
phaseSubStatus_waitingReconnect "Waiting for child to reconnect"

phaseSubStatus_waitAgainAfterFailedTransfer "Transfer failed, waiting for a new connection "



phaseStatus_connectionFailed  "Connection lost"


phaseStatus_accumulate  "Diamonds accumulate"
phaseSubStatus_accumulate  "New month, regions produce more diamonds"


phaseStatus_payAgents  "Pay agents"
phaseSubStatus_pickSalary  "Select salary payment for this agent"
phaseSubStatus_pickOpponentBribe  "Select bribe payment for this opponent agent"
phaseSubStatus_payAgentCannot  "None are payable (hit Done when ready)"



phaseStatus_move  "Move your agents"
phaseStatus_movePeek  "Bribed units reveal moves"

phaseSubStatus_pickAgent  "Pick an agent (or hit Done)"
phaseSubStatus_pickAgentAdjust  "Adjust move?  Pick an agent (or hit Done)"
phaseSubStatus_pickRegion  "Pick destination for chosen agent"
phaseSubStatus_pickBid  "How much to pay diamond guide in this region?"
phaseSubStatus_pickInspectorBribe  "Bribe the UN Inspector?"
phaseSubStatus_waitingOpponent  "Waiting for opponent to move..."
phaseSubStatus_moveExecute  "Executing moves..."


phaseStatus_depositDiamonds  "Depositing diamonds"
phaseSubStatus_depositDiamonds "Agents returning home unload their diamonds"


phaseStatus_moveInspector  "Move the UN Inspector"
phaseSubStatus_pickInspectorRegion  "Pick destination (or hit Done)"


phaseStatus_confiscate  "UN inspection"
phaseSubStatus_confiscate  "Inspector confiscates diamonds"


phaseStatus_buyDiamonds  "Collecting diamonds"
phaseSubStatus_buyDiamonds  "Guides help highest payer get diamonds"


phaseStatus_sellDiamonds  "Sell diamonds"
phaseStatus_sellPeek  "Bribed units reveal sale"
phaseSubStatus_sellDiamonds  "Pick number to sell on open market (or hit Done)"
phaseSubStatus_sellDiamondsAdjust  "Adjust sale?  Pick new number to sell (or hit Done)"
phaseSubStatus_sellDiamondsNone "You have none to sell (hit Done when ready)"

phaseSubStatus_sellDiamondsPicture "Enter vault to remove diamonds"


phaseStatus_flyHome   "Final trip home"
phaseSubStatus_flyHome   "Time to get out of Angola"


phaseStatus_youWin       "You win"
phaseStatus_opponentWins "You lose"
phaseStatus_tie "Tie game"

phaseSubStatus_playAgainWait  "Waiting for host to play again..." 
